Name,Uncalibrated,Histogram Binning,Isotonic Regression,Temperature Scaling,Beta Calibration,BC am,BC ab
blur_100,63.77777777777778,75.55555555555556,64.11111111111111,63.77777777777778,57.0,56.55555555555555,63.77777777777778
blur_242,77.11111111111111,76.0,74.55555555555556,77.11111111111111,74.88888888888889,74.77777777777777,75.77777777777777
blur_32,65.22222222222223,73.77777777777777,59.44444444444444,65.22222222222223,56.888888888888886,57.111111111111114,62.44444444444445
blur_376,59.333333333333336,74.0,57.666666666666664,59.333333333333336,51.77777777777778,51.0,57.22222222222222
blur_498,55.44444444444444,70.88888888888889,60.0,55.44444444444444,53.22222222222222,53.22222222222222,56.55555555555555
detail_100,37.88888888888889,49.77777777777778,41.55555555555556,37.88888888888889,35.44444444444444,35.22222222222223,37.77777777777778
detail_242,73.33333333333333,75.88888888888889,71.0,73.33333333333333,72.0,72.33333333333333,72.88888888888889
detail_32,39.0,50.666666666666664,46.88888888888889,39.0,36.33333333333333,36.88888888888889,38.33333333333333
detail_376,37.22222222222222,53.11111111111111,42.77777777777778,37.22222222222222,35.888888888888886,35.888888888888886,36.66666666666667
detail_498,35.22222222222223,54.333333333333336,46.88888888888889,35.22222222222223,35.0,35.22222222222223,35.111111111111114
edge_enhance_100,54.11111111111111,62.888888888888886,56.111111111111114,54.11111111111111,48.77777777777778,48.88888888888889,53.55555555555556
edge_enhance_242,77.44444444444444,84.55555555555556,83.55555555555556,77.44444444444444,82.0,82.33333333333333,82.11111111111111
edge_enhance_32,52.77777777777778,61.0,57.22222222222222,52.77777777777778,48.88888888888889,47.22222222222222,52.77777777777778
edge_enhance_376,51.666666666666664,60.66666666666667,51.44444444444444,51.666666666666664,45.77777777777777,44.666666666666664,51.22222222222222
edge_enhance_498,49.0,58.111111111111114,52.666666666666664,49.0,42.77777777777778,43.44444444444444,48.44444444444444
sample_100,36.55555555555555,52.33333333333333,43.44444444444444,36.55555555555555,35.33333333333334,35.66666666666667,37.11111111111111
smooth_498,39.33333333333333,61.55555555555556,51.55555555555556,39.33333333333333,36.88888888888889,36.22222222222222,41.22222222222223
sample_242,76.66666666666667,76.88888888888889,73.88888888888889,76.66666666666667,73.66666666666667,73.88888888888889,74.33333333333334
sample_32,37.11111111111111,56.77777777777778,51.666666666666664,37.11111111111111,36.66666666666667,37.66666666666667,36.0
sample_376,36.88888888888889,60.44444444444444,50.77777777777778,36.88888888888889,35.77777777777777,35.77777777777777,36.77777777777778
sample_498,39.11111111111111,55.111111111111114,40.888888888888886,39.11111111111111,36.33333333333333,37.33333333333333,38.66666666666667
sharp_100,41.22222222222223,56.666666666666664,45.44444444444444,41.22222222222223,36.66666666666667,36.66666666666667,40.55555555555556
sharp_242,74.88888888888889,74.88888888888889,74.88888888888889,74.88888888888889,74.88888888888889,74.88888888888889,74.66666666666666
sharp_32,41.11111111111111,53.22222222222222,45.55555555555556,41.11111111111111,38.44444444444445,37.88888888888889,41.55555555555556
sharp_376,38.55555555555556,55.77777777777778,43.99999999999999,38.55555555555556,37.88888888888889,37.77777777777778,38.11111111111111
sharp_498,38.888888888888886,55.333333333333336,51.44444444444444,38.888888888888886,36.88888888888889,36.55555555555555,38.77777777777778
smooth_100,41.44444444444444,60.44444444444444,48.77777777777778,41.44444444444444,39.55555555555556,40.0,43.44444444444444
smooth_242,73.33333333333333,75.0,71.77777777777777,73.33333333333333,75.88888888888889,75.33333333333333,76.55555555555556
smooth_32,43.00000000000001,62.22222222222222,46.22222222222222,43.00000000000001,41.333333333333336,43.00000000000001,43.00000000000001
smooth_376,46.44444444444444,64.33333333333333,49.111111111111114,46.44444444444444,43.44444444444444,42.22222222222223,46.333333333333336
