Name,Uncalibrated,Histogram Binning,Isotonic Regression,Temperature Scaling,Beta Calibration,BC am,BC ab
blurdetail_f_sample_100,1.2417037406954068,14.275433818317122,3.971208153269771,1.0985677507435967,1.1445120892671143,1.1286617287584684,1.172894826367394
blurdetail_f_sample_242,1.3843001220984539,15.703925560464462,6.148981583407148,1.3411642913535857,1.4747054360475804,1.4776455067969962,1.4782788837142289
blurdetail_f_sample_32,1.2930495385067202,13.54881203846799,5.118386377073411,1.0906086130199644,1.2566532517602254,1.1701720982509303,1.222063767992788
blurdetail_f_sample_376,1.2904443482706645,13.567341694807013,4.909280591147641,1.1663211295863343,1.2565805413240256,1.2198918292774437,1.2377959193268584
blurdetail_f_sample_498,1.1824710113558556,12.336299232944018,4.75033882852786,1.0321236186054172,1.1529417099596726,1.1567863264214246,1.1178883948508236
blurdetail_f_sharp_100,1.2672118097850447,13.38008510661208,6.2472881480420215,1.0986880579753293,1.2774521432695394,1.124108231169327,1.1741752570888235
blurdetail_f_sharp_242,1.590124663263042,13.870588045534161,5.972286057110048,1.4730244827270509,1.4805073352075286,1.4403382862742162,1.556314532029339
blurdetail_f_sharp_32,1.4619835262598675,11.904997052119837,4.221360119256036,1.1818795720932798,1.1687227145903227,1.1496805455799526,1.1970851606309103
blurdetail_f_sharp_376,1.5872077685905535,14.981072785668076,5.569400820802484,1.32105738441822,1.3277543300783468,1.3353701784937746,1.3809775902294656
blurdetail_f_sharp_498,1.3158225269978265,9.798301650484403,4.2894918470648635,1.1379961845166204,1.1842248066763084,1.1842941046061202,1.2032660956599284
blurdetail_f_smooth_100,1.4289365459452772,13.445131067252822,6.359916651524189,1.2581162408449584,1.2641811864036652,1.274348683262037,1.3035422086405257
blurdetail_f_smooth_242,1.5583045699323217,15.00909763303068,5.811279602017668,1.4983192556351423,1.5399608460317056,1.5029830680311553,1.6616140074738197
blurdetail_f_smooth_32,1.347096733456699,13.563964789741568,4.152088850086762,1.1741898827329795,1.1807385196779958,1.1685712126445853,1.2193907473070753
blurdetail_f_smooth_376,1.288102680652551,14.192373955473304,5.850507013579934,1.1486531459831166,1.30503600141137,1.2001291249370358,1.30629171657971
blurdetail_f_smooth_498,1.362474800703621,14.323383224445084,8.985813194867223,1.125000125024235,1.6333379225256957,1.5390113157577192,1.6616001797539905
blurdetail_f_blur_376,2.344306555857523,12.28234665736556,5.853495737716763,1.6858886486664415,1.6084699454324114,1.58645527484775,1.7294963778534698
blurdetail_f_blur_498,2.457522838943005,12.303721862534681,6.16750971734679,1.7291032880793016,1.7012049178137547,1.6960725806094705,1.815478694035361
blurdetail_f_detail_100,1.2982097938669317,11.946964676694737,5.412281634467137,1.113957047651315,1.1212985020130872,1.0953289648874973,1.1480544865369382
blurdetail_f_detail_242,1.4709746618046322,14.89051218966643,7.3159620211852925,1.4009615525665382,1.6728961908413718,1.5422576354434971,1.69379625147519
blurdetail_f_detail_32,1.297860106369096,11.711735072516733,4.6197928700215805,1.0889520699283457,1.1071004141970642,1.0358708422712517,1.1278928671073583
blurdetail_f_detail_376,1.4265376678378838,13.091119393971232,4.105609303519854,1.2042181474802136,1.4000284144458257,1.1199493094717359,1.1798322347127315
blurdetail_f_detail_498,1.1502447457436364,13.259952606939606,4.498855130935812,1.0141161136842047,1.1677462875843048,1.0468789032135262,1.0815735585107986
blurdetail_f_edge_enhance_100,1.8154521127354013,11.027670265022252,5.403415474323815,1.3836412347058973,1.2856683606095611,1.2506585106822765,1.356476689438439
blurdetail_f_edge_enhance_242,2.972311643991464,12.151871869530943,7.711793459468625,1.991920033958223,1.8362099197092983,1.7747047136475642,2.079389404339923
blurdetail_f_edge_enhance_32,2.3660192397992685,9.172273389415608,5.635535249149219,1.6184243108725382,1.5608520537532038,1.5450814026511377,1.7022503608009882
blurdetail_f_edge_enhance_376,3.5138596056649836,8.760337472624249,5.701358834113925,2.0401559108330143,1.9118526704112688,1.885321223611633,2.109030558483468
blurdetail_f_blur_32,2.4770044274195486,14.851904901978042,6.108139661016564,1.813602689007918,1.771187549630801,1.718991560075018,1.8876051072445181
blurdetail_f_edge_enhance_498,1.96331013839857,13.231483509325319,5.589075216497812,1.596026620335049,1.7851641202366186,1.560429476744547,1.7856313566284048
blurdetail_f_blur_100,2.3402822347903727,12.828536301636033,6.411090670414269,1.7982552478131322,1.642564935270283,1.667844892491897,1.736446375892394
blurdetail_f_blur_242,2.3964016287628973,9.443209124174382,6.519722975916746,1.9472874575853347,1.8439501142832968,1.8431555371234813,1.99363581241005
