Name,Uncalibrated,Histogram Binning,Isotonic Regression,Temperature Scaling,Beta Calibration,BC am,BC ab
sample_100,34.77777777777777,49.55555555555555,41.77777777777778,34.77777777777777,35.33333333333334,36.22222222222222,35.0
blur_100,64.55555555555556,75.88888888888889,64.77777777777777,64.55555555555556,57.0,57.55555555555556,63.666666666666664
blur_242,72.66666666666667,82.11111111111111,71.66666666666667,72.66666666666667,64.77777777777777,63.111111111111114,70.44444444444444
blur_32,66.33333333333334,71.77777777777777,60.44444444444444,66.33333333333334,58.44444444444444,59.333333333333336,65.22222222222223
blur_376,58.55555555555556,70.44444444444444,60.55555555555556,58.55555555555556,53.44444444444444,52.77777777777778,59.44444444444444
blur_498,54.77777777777778,72.44444444444444,62.44444444444445,54.77777777777778,55.111111111111114,53.44444444444444,54.55555555555556
detail_100,34.222222222222214,53.77777777777778,39.666666666666664,34.222222222222214,31.777777777777786,31.33333333333333,33.888888888888886
detail_242,48.33333333333333,66.22222222222223,56.55555555555555,48.33333333333333,46.77777777777777,49.33333333333333,48.22222222222222
detail_32,40.0,56.44444444444445,44.111111111111114,40.0,37.33333333333333,37.11111111111111,39.888888888888886
detail_376,35.22222222222223,49.88888888888889,42.55555555555556,35.22222222222223,33.0,33.0,34.77777777777777
detail_498,37.77777777777778,59.66666666666667,49.88888888888889,37.77777777777778,38.22222222222222,36.33333333333333,37.88888888888889
edge_enhance_100,45.666666666666664,60.0,48.22222222222222,45.666666666666664,41.11111111111111,39.77777777777778,44.777777777777786
edge_enhance_242,64.11111111111111,71.88888888888889,60.333333333333336,64.11111111111111,58.111111111111114,58.77777777777778,63.88888888888889
edge_enhance_32,52.44444444444444,59.0,49.111111111111114,52.44444444444444,43.55555555555556,42.888888888888886,50.333333333333336
edge_enhance_376,54.11111111111111,63.333333333333336,56.888888888888886,54.11111111111111,51.77777777777778,51.0,55.333333333333336
edge_enhance_498,55.22222222222222,64.88888888888889,56.666666666666664,55.22222222222222,51.111111111111114,51.55555555555556,54.0
sample_242,46.44444444444444,61.666666666666664,53.22222222222222,46.44444444444444,47.88888888888889,47.22222222222222,48.33333333333333
sample_32,37.11111111111111,59.11111111111111,46.666666666666664,37.11111111111111,37.88888888888889,38.55555555555556,38.55555555555556
sample_376,36.77777777777778,48.88888888888889,43.55555555555556,36.77777777777778,35.888888888888886,36.111111111111114,37.44444444444445
sample_498,39.888888888888886,56.888888888888886,42.333333333333336,39.888888888888886,39.44444444444445,39.77777777777778,40.33333333333333
sharp_100,33.222222222222214,54.11111111111111,43.333333333333336,33.222222222222214,31.66666666666667,30.888888888888886,32.77777777777777
sharp_242,50.111111111111114,69.22222222222223,55.666666666666664,50.111111111111114,45.111111111111114,45.333333333333336,53.22222222222222
sharp_32,40.22222222222223,57.88888888888889,48.66666666666667,40.22222222222223,37.66666666666667,38.55555555555556,39.33333333333333
sharp_376,37.77777777777778,50.22222222222222,42.00000000000001,37.77777777777778,36.44444444444444,35.888888888888886,38.33333333333333
sharp_498,42.55555555555556,54.333333333333336,52.33333333333333,42.55555555555556,42.22222222222223,43.333333333333336,43.222222222222214
smooth_100,44.44444444444444,61.888888888888886,49.66666666666667,44.44444444444444,39.888888888888886,38.33333333333333,44.666666666666664
smooth_242,56.111111111111114,68.88888888888889,58.0,56.111111111111114,49.22222222222222,49.77777777777778,53.44444444444444
smooth_32,42.11111111111111,68.66666666666666,51.33333333333333,42.11111111111111,41.333333333333336,41.0,42.55555555555556
smooth_376,42.00000000000001,54.66666666666667,44.44444444444444,42.00000000000001,42.22222222222223,40.55555555555556,41.333333333333336
smooth_498,38.33333333333333,64.77777777777777,46.333333333333336,38.33333333333333,37.77777777777778,38.22222222222222,40.888888888888886
